Date;Time;Severity;TID;This;Function;Message
2017/11/09;18:44:41.446;ERROR;14357;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:41.446;ERROR;14357;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1325 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::f137:edd5:886d:3b73 transportProtocol:UDP portDst:547 portSrc546 npackets:4 pktSize:160"
2017/11/09;18:44:45.876;ERROR;15776;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:45.877;ERROR;15776;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:2722 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::c83e:671b:b282:ee67 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:160"
2017/11/09;18:44:45.930;ERROR;15794;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:45.930;ERROR;15794;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:2740 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::3d1c:9cea:dce1:314b transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:160"
2017/11/09;18:44:47.735;ERROR;16162;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:47.735;ERROR;16162;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3108 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::1610:9fff:fecf:e171 transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:603"
2017/11/09;18:44:47.851;ERROR;16186;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:47.851;ERROR;16186;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3132 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::ca2a:14ff:fe4c:30e9 transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:426"
2017/11/09;18:44:47.852;ERROR;16188;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:47.852;ERROR;16188;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3134 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::1610:9fff:fed4:90db transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:500"
2017/11/09;18:44:47.861;ERROR;16191;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:47.861;ERROR;16191;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3137 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::462a:60ff:fef7:7b32 transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:432"
