Date;Time;Severity;TID;This;Function;Message
2017/10/19;19:31:38.049;DEBUG;24905;0;TinsFlow::sendPackets@98;"[../libsimitar/TinsFlow.cpp] [FlowId:17]: EthernetII/IP(192.168.1.2, 68.206.150.243)/TCP(1312, 57322)/NULL/payload:689"
2017/10/19;19:31:38.049;DEBUG;24905;0;TinsFlow::sendPackets@107;"[../libsimitar/TinsFlow.cpp] [FlowId:17]: PacketSender::IP_TCP_SOCKET"
2017/10/19;19:31:38.106;DEBUG;24904;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[16]"
2017/10/19;19:31:38.694;DEBUG;24906;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:18] -> onTime:0.746498 npackets:4 netInterface:h1-eth0"
2017/10/19;19:31:38.694;DEBUG;24906;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:18] -> npackets_mode14 npackets_mode2:0"
2017/10/19;19:31:38.694;DEBUG;24906;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:18]: EthernetII/IP(192.168.1.2, 217.47.73.141)/ICMP/DNS/payload:70"
2017/10/19;19:31:38.694;DEBUG;24906;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:18]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:38.746;DEBUG;24906;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:18]: EthernetII/IP(192.168.1.2, 217.47.73.141)/ICMP/DNS/payload:0"
2017/10/19;19:31:38.746;DEBUG;24906;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:18]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:38.794;DEBUG;24906;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[18]"
2017/10/19;19:31:39.270;DEBUG;24907;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:19] -> onTime:0.628899 npackets:7 netInterface:h1-eth0"
2017/10/19;19:31:39.270;DEBUG;24907;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:19] -> npackets_mode19 npackets_mode2:0"
2017/10/19;19:31:39.270;DEBUG;24907;0;TinsFlow::sendPackets@98;"[../libsimitar/TinsFlow.cpp] [FlowId:19]: EthernetII/IP(192.168.1.2, 195.215.8.141)/TCP(1325, 33033)/NULL/payload:100"
2017/10/19;19:31:39.270;DEBUG;24907;0;TinsFlow::sendPackets@107;"[../libsimitar/TinsFlow.cpp] [FlowId:19]: PacketSender::IP_TCP_SOCKET"
2017/10/19;19:31:39.318;DEBUG;24907;0;TinsFlow::sendPackets@98;"[../libsimitar/TinsFlow.cpp] [FlowId:19]: EthernetII/IP(192.168.1.2, 195.215.8.141)/TCP(1325, 33033)/NULL/payload:0"
2017/10/19;19:31:39.318;DEBUG;24907;0;TinsFlow::sendPackets@107;"[../libsimitar/TinsFlow.cpp] [FlowId:19]: PacketSender::IP_TCP_SOCKET"
2017/10/19;19:31:39.355;DEBUG;24908;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:20] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:39.356;DEBUG;24908;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:20] -> npackets_mode10 npackets_mode2:1"
2017/10/19;19:31:39.356;DEBUG;24908;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:20]: EthernetII/IP(192.168.1.2, 83.147.171.206)/UDP(35990, 6293)/DNS/payload:0"
2017/10/19;19:31:39.356;DEBUG;24908;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:20]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.386;DEBUG;24908;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:20]: EthernetII/IP(192.168.1.2, 83.147.171.206)/UDP(35990, 6293)/DNS/payload:700"
2017/10/19;19:31:39.386;DEBUG;24908;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:20]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.395;DEBUG;24909;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:21] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:39.395;DEBUG;24909;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:21] -> npackets_mode10 npackets_mode2:1"
2017/10/19;19:31:39.395;DEBUG;24909;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:21]: EthernetII/IP(192.168.1.2, 172.207.190.217)/UDP(35990, 51361)/DNS/payload:0"
2017/10/19;19:31:39.395;DEBUG;24909;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:21]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.422;DEBUG;24908;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[20]"
2017/10/19;19:31:39.434;DEBUG;24909;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:21]: EthernetII/IP(192.168.1.2, 172.207.190.217)/UDP(35990, 51361)/DNS/payload:711"
2017/10/19;19:31:39.434;DEBUG;24909;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:21]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.443;DEBUG;24910;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:22] -> onTime:0.0136108 npackets:4 netInterface:h1-eth0"
2017/10/19;19:31:39.443;DEBUG;24910;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:22] -> npackets_mode14 npackets_mode2:0"
2017/10/19;19:31:39.443;DEBUG;24910;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:22]: EthernetII/IP(192.168.1.2, 217.47.73.30)/ICMP/DNS/payload:70"
2017/10/19;19:31:39.443;DEBUG;24910;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:22]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.455;DEBUG;24911;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:23] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:39.455;DEBUG;24911;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:23] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:39.455;DEBUG;24911;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:23]: EthernetII/IP(192.168.1.2, 82.253.163.244)/UDP(35990, 38930)/DNS/payload:68"
2017/10/19;19:31:39.455;DEBUG;24911;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:23]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.463;DEBUG;24912;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:24] -> onTime:0.0967331 npackets:4 netInterface:h1-eth0"
2017/10/19;19:31:39.464;DEBUG;24912;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:24] -> npackets_mode14 npackets_mode2:0"
2017/10/19;19:31:39.464;DEBUG;24912;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:24]: EthernetII/IP(192.168.1.2, 217.41.176.21)/ICMP/DNS/payload:70"
2017/10/19;19:31:39.464;DEBUG;24912;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:24]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.470;DEBUG;24909;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[21]"
2017/10/19;19:31:39.474;DEBUG;24913;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:25] -> onTime:0.477936 npackets:5 netInterface:h1-eth0"
2017/10/19;19:31:39.474;DEBUG;24913;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:25] -> npackets_mode15 npackets_mode2:0"
2017/10/19;19:31:39.474;DEBUG;24913;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:25]: EthernetII/IP(192.168.1.2, 83.130.238.168)/UDP(35990, 26744)/DNS/payload:68"
2017/10/19;19:31:39.474;DEBUG;24913;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:25]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.479;DEBUG;24914;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:26] -> onTime:0.0945587 npackets:4 netInterface:h1-eth0"
2017/10/19;19:31:39.480;DEBUG;24914;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:26] -> npackets_mode14 npackets_mode2:0"
2017/10/19;19:31:39.480;DEBUG;24914;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:26]: EthernetII/IP(192.168.1.2, 217.41.176.118)/ICMP/DNS/payload:70"
2017/10/19;19:31:39.480;DEBUG;24914;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:26]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.482;DEBUG;24910;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:22]: EthernetII/IP(192.168.1.2, 217.47.73.30)/ICMP/DNS/payload:0"
2017/10/19;19:31:39.482;DEBUG;24911;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:23]: EthernetII/IP(192.168.1.2, 82.253.163.244)/UDP(35990, 38930)/DNS/payload:0"
2017/10/19;19:31:39.482;DEBUG;24910;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:22]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.482;DEBUG;24911;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:23]: PacketSender::IP_UDP_SOCKET"
