#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
1161+0i,0.256262611495079-0.03655138387270254i
1162+0i,0.2562510669782161-0.03655132301793616i
1163+0i,0.2562395810370124-0.03655126247194044i
1164+0i,0.2562281533742622-0.03655120223314871i
1165+0i,0.2562167836942666-0.03655114230000226i
1166+0i,0.2562054717028269-0.03655108267095026i
1167+0i,0.2561942171072381-0.03655102334444978i
1168+0i,0.2561830196162792-0.0365509643189657i
1169+0i,0.2561718789402069-0.0365509055929707i
1170+0i,0.256160794790749-0.03655084716494518i
1171+0i,0.256149766881096-0.03655078903337732i
1172+0i,0.2561387949258917-0.03655073119676288i
1173+0i,0.2561278786412304-0.03655067365360532i
1174+0i,0.2561170177446442-0.03655061640241567i
1175+0i,0.256106211955103-0.03655055944171252i
1176+0i,0.2560954609929956-0.03655050277002194i
1177+0i,0.256084764580135-0.03655044638587757i
1178+0i,0.2560741224397445-0.03655039028782037i
1179+0i,0.2560635342964511-0.03655033447439882i
1180+0i,0.2560529998762792-0.03655027894416865i
1181+0i,0.2560425189066425-0.03655022369569301i
1182+0i,0.2560320911163404-0.03655016872754231i
1183+0i,0.256021716235545-0.0365501140382942i
1184+0i,0.2560113939957992-0.03655005962653357i
1185+0i,0.2560011241300085-0.03655000549085247i
1186+0i,0.2559909063724329-0.03654995162985009i
1187+0i,0.2559807404586809-0.03654989804213275i
1188+0i,0.2559706261257015-0.03654984472631383i
1189+0i,0.2559605631117802-0.03654979168101376i
1190+0i,0.2559505511565296-0.03654973890485994i
1191+0i,0.255940590000883-0.03654968639648676i
1192+0i,0.2559306793870882-0.03654963415453552i
1193+0i,0.2559208190587021-0.03654958217765443i
1194+0i,0.255911008760581-0.03654953046449853i
1195+0i,0.2559012482388776-0.03654947901372972i
1196+0i,0.2558915372410304-0.03654942782401669i
1197+0i,0.2558818755157613-0.03654937689403488i
1198+0i,0.2558722628130673-0.03654932622246639i
1199+0i,0.2558626988842101-0.0365492758080001i
1200+0i,0.2558531834817195-0.0365492256493315i
1201+0i,0.2558437163593762-0.03654917574516268i
1202+0i,0.2558342972722135-0.03654912609420235i
1203+0i,0.255824925976503-0.03654907669516574i
1204+0i,0.2558156022297594-0.03654902754677464i
1205+0i,0.2558063257907213-0.03654897864775729i
1206+0i,0.2557970964193565-0.03654892999684838i
1207+0i,0.2557879138768475-0.03654888159278906i
1208+0i,0.2557787779255896-0.03654883343432681i
1209+0i,0.2557696883291844-0.03654878552021553i
1210+0i,0.2557606448524313-0.03654873784921538i
1211+0i,0.2557516472613254-0.03654869042009287i
1212+0i,0.2557426953230467-0.03654864323162071i
1213+0i,0.2557337888059569-0.03654859628257788i
1214+0i,0.2557249274795957-0.03654854957174954i
1215+0i,0.2557161111146689-0.03654850309792701i
1216+0i,0.255707339483047-0.03654845685990773i
1217+0i,0.2556986123577581-0.0365484108564953i
1218+0i,0.2556899295129808-0.03654836508649933i
1219+0i,0.2556812907240422-0.03654831954873548i
1220+0i,0.2556726957674071-0.03654827424202545i
1221+0i,0.2556641444206744-0.03654822916519687i
1222+0i,0.2556556364625717-0.03654818431708337i
1223+0i,0.2556471716729509-0.03654813969652444i
1224+0i,0.2556387498327792-0.03654809530236554i
1225+0i,0.2556303707241351-0.03654805113345791i
1226+0i,0.2556220341302033-0.03654800718865864i
1227+0i,0.2556137398352702-0.03654796346683066i
1228+0i,0.2556054876247138-0.03654791996684262i
1229+0i,0.2555972772850025-0.03654787668756893i
1230+0i,0.255589108603688-0.03654783362788969i
1231+0i,0.2555809813693998-0.03654779078669073i
1232+0i,0.2555728953718417-0.03654774816286348i
1233+0i,0.2555648504017808-0.03654770575530504i
1234+0i,0.2555568462510496-0.03654766356291807i
1235+0i,0.2555488827125329-0.03654762158461082i
1236+0i,0.2555409595801704-0.03654757981929708i
1237+0i,0.2555330766489454-0.03654753826589613i
1238+0i,0.2555252337148818-0.03654749692333274i
1239+0i,0.255517430575037-0.03654745579053716i
1240+0i,0.2555096670275001-0.03654741486644503i
1241+0i,0.2555019428713844-0.03654737414999744i
1242+0i,0.2554942579068213-0.03654733364014079i
1243+0i,0.2554866119349569-0.03654729333582689i
1244+0i,0.2554790047579469-0.03654725323601281i
1245+0i,0.2554714361789496-0.03654721333966097i
1246+0i,0.2554639060021234-0.03654717364573901i
1247+0i,0.2554564140326199-0.03654713415321981i
1248+0i,0.2554489600765786-0.03654709486108149i
1249+0i,0.2554415439411235-0.03654705576830732i
1250+0i,0.2554341654343563-0.03654701687388577i
1251+0i,0.2554268243653541-0.0365469781768104i
1252+0i,0.2554195205441616-0.03654693967607991i
1253+0i,0.2554122537817855-0.03654690137069806i
1254+0i,0.2554050238901943-0.03654686325967369i
1255+0i,0.2553978306823121-0.03654682534202062i
1256+0i,0.2553906739720061-0.03654678761675772i
1257+0i,0.2553835535740924-0.03654675008290882i
1258+0i,0.2553764693043266-0.0365467127395027i
1259+0i,0.2553694209793975-0.03654667558557308i
1260+0i,0.255362408416925-0.03654663862015859i
1261+0i,0.2553554314354545-0.03654660184230271i
1262+0i,0.2553484898544514-0.03654656525105379i
1263+0i,0.2553415834942974-0.03654652884546501i
1264+0i,0.2553347121762853-0.03654649262459433i
1265+0i,0.2553278757226163-0.03654645658750454i
1266+0i,0.2553210739563928-0.03654642073326313i
1267+0i,0.2553143067016111-0.03654638506094236i
1268+0i,0.2553075737831656-0.03654634956961916i
1269+0i,0.2553008750268388-0.03654631425837521i
1270+0i,0.2552942102592937-0.03654627912629677i
1271+0i,0.2552875793080762-0.0365462441724748i
1272+0i,0.2552809820016052-0.03654620939600483i
1273+0i,0.2552744181691705-0.03654617479598698i
1274+0i,0.2552678876409285-0.03654614037152601i
1275+0i,0.2552613902478977-0.03654610612173108i
1276+0i,0.255254925821953-0.03654607204571602i
1277+0i,0.2552484941958232-0.03654603814259905i
1278+0i,0.2552420952030857-0.03654600441150292i
1279+0i,0.2552357286781621-0.0365459708515548i
1280+0i,0.2552293944563129-0.03654593746188633i
1281+0i,0.255223092373638-0.03654590424163351i
1282+0i,0.2552168222670642-0.03654587118993674i
1283+0i,0.2552105839743502-0.03654583830594081i
1284+0i,0.2552043773340746-0.03654580558879478i
1285+0i,0.2551982021856362-0.03654577303765209i
1286+0i,0.2551920583692494-0.03654574065167048i
1287+0i,0.2551859457259386-0.03654570843001193i
1288+0i,0.2551798640975342-0.03654567637184265i
1289+0i,0.2551738133266716-0.03654564447633315i
1290+0i,0.2551677932567798-0.0365456127426581i
1291+0i,0.2551618037320891-0.03654558116999636i
1292+0i,0.2551558445976133-0.03654554975753097i
1293+0i,0.2551499156991568-0.03654551850444913i
1294+0i,0.2551440168833053-0.03654548740994212i
1295+0i,0.2551381479974225-0.03654545647320535i
1296+0i,0.2551323088896473-0.03654542569343831i
1297+0i,0.2551264994088887-0.03654539506984459i
1298+0i,0.2551207194048225-0.03654536460163173i
1299+0i,0.2551149687278862-0.03654533428801137i
1300+0i,0.2551092472292781-0.0365453041281991i
1301+0i,0.2551035547609501-0.03654527412141456i
1302+0i,0.2550978911756043-0.03654524426688128i
1303+0i,0.255092256326694-0.03654521456382673i
1304+0i,0.2550866500684125-0.03654518501148236i
1305+0i,0.2550810722556925-0.03654515560908345i
1306+0i,0.2550755227442066-0.03654512635586922i
1307+0i,0.2550700013903546-0.0365450972510827i
1308+0i,0.2550645080512708-0.0365450682939708i
1309+0i,0.2550590425848085-0.03654503948378424i
1310+0i,0.2550536048495466-0.03654501081977751i
1311+0i,0.2550481947047797-0.03654498230120894i
1312+0i,0.2550428120105166-0.03654495392734056i
1313+0i,0.2550374566274753-0.03654492569743819i
1314+0i,0.2550321284170815-0.03654489761077139i
1315+0i,0.2550268272414655-0.03654486966661335i
1316+0i,0.2550215529634552-0.03654484186424101i
1317+0i,0.2550163054465747-0.03654481420293501i
1318+0i,0.2550110845550411-0.03654478668197953i
1319+0i,0.2550058901537597-0.03654475930066248i
1320+0i,0.2550007221083222-0.03654473205827533i
1321+0i,0.2549955802850016-0.0365447049541132i
1322+0i,0.25499046455075-0.03654467798747472i
1323+0i,0.2549853747731937-0.0365446511576621i
1324+0i,0.2549803108206317-0.03654462446398112i
1325+0i,0.25497527256203-0.03654459790574108i
1326+0i,0.254970259867021-0.03654457148225473i
1327+0i,0.254965272605897-0.03654454519283837i
1328+0i,0.2549603106496093-0.03654451903681173i
1329+0i,0.2549553738697646-0.036544493013498i
1330+0i,0.2549504621386196-0.03654446712222383i
1331+0i,0.2549455753290801-0.03654444136231923i
1332+0i,0.2549407133146962-0.0365444157331177i
1333+0i,0.2549358759696601-0.03654439023395601i
1334+0i,0.2549310631688014-0.03654436486417438i
1335+0i,0.2549262747875873-0.03654433962311635i
1336+0i,0.254921510702113-0.03654431451012877i
1337+0i,0.2549167707891065-0.03654428952456186i
1338+0i,0.254912054925918-0.03654426466576905i
1339+0i,0.2549073629905209-0.03654423993310715i
1340+0i,0.2549026948615083-0.03654421532593616i
1341+0i,0.2548980504180914-0.03654419084361936i
1342+0i,0.2548934295400893-0.03654416648552325i
1343+0i,0.2548888321079334-0.03654414225101754i
1344+0i,0.2548842580026642-0.03654411813947517i
1345+0i,0.2548797071059215-0.0365440941502722i
1346+0i,0.2548751792999484-0.03654407028278794i
1347+0i,0.2548706744675859-0.03654404653640476i
1348+0i,0.2548661924922668-0.03654402291050822i
1349+0i,0.2548617332580164-0.03654399940448699i
1350+0i,0.2548572966494502-0.03654397601773282i
1351+0i,0.2548528825517681-0.03654395274964059i
1352+0i,0.2548484908507518-0.03654392959960821i
1353+0i,0.2548441214327626-0.03654390656703662i
1354+0i,0.2548397741847385-0.03654388365132987i
1355+0i,0.2548354489941931-0.03654386085189502i
1356+0i,0.2548311457492067-0.03654383816814209i
1357+0i,0.2548268643384319-0.03654381559948412i
1358+0i,0.2548226046510836-0.03654379314533715i
1359+0i,0.2548183665769388-0.03654377080512013i
1360+0i,0.2548141500063347-0.03654374857825504i
1361+0i,0.2548099548301651-0.03654372646416668i
1362+0i,0.2548057809398763-0.03654370446228291i
1363+0i,0.2548016282274669-0.03654368257203435i
1364+0i,0.2547974965854815-0.03654366079285462i
1365+0i,0.2547933859070111-0.03654363912418013i
1366+0i,0.2547892960856887-0.03654361756545022i
1367+0i,0.2547852270156888-0.03654359611610702i
1368+0i,0.2547811785917214-0.03654357477559554i
1369+0i,0.2547771507090286-0.03654355354336355i
1370+0i,0.2547731432633878-0.03654353241886166i
1371+0i,0.254769156151103-0.03654351140154326i
1372+0i,0.2547651892690054-0.03654349049086452i
1373+0i,0.2547612425144482-0.03654346968628436i
1374+0i,0.2547573157853077-0.03654344898726444i
1375+0i,0.2547534089799761-0.03654342839326918i
1376+0i,0.2547495219973623-0.03654340790376564i
1377+0i,0.2547456547368885-0.03654338751822372i
1378+0i,0.2547418070984854-0.03654336723611586i
1379+0i,0.254737978982593-0.03654334705691729i
1380+0i,0.254734170290157-0.03654332698010584i
1381+0i,0.2547303809226248-0.036543307005162i
1382+0i,0.2547266107819443-0.03654328713156893i
1383+0i,0.2547228597705578-0.03654326735881236i
1384+0i,0.2547191277914069-0.03654324768638068i
1385+0i,0.2547154147479265-0.03654322811376484i
1386+0i,0.2547117205440345-0.03654320864045837i
1387+0i,0.2547080450841445-0.03654318926595743i
1388+0i,0.254704388273149-0.03654316998976065i
1389+0i,0.2547007500164265-0.03654315081136927i
1390+0i,0.2546971302198358-0.036543131730287i
1391+0i,0.2546935287897101-0.03654311274602012i
1392+0i,0.2546899456328609-0.03654309385807746i
1393+0i,0.254686380656571-0.03654307506597018i
1394+0i,0.2546828337685944-0.03654305636921207i
1395+0i,0.2546793048771533-0.03654303776731935i
1396+0i,0.2546757938909344-0.03654301925981066i
1397+0i,0.25467230071909-0.03654300084620713i
1398+0i,0.2546688252712297-0.03654298252603227i
1399+0i,0.2546653674574261-0.03654296429881206i
1400+0i,0.2546619271882031-0.03654294616407482i
1401+0i,0.2546585043745441-0.03654292812135132i
1402+0i,0.2546550989278806-0.03654291017017472i
1403+0i,0.2546517107600932-0.03654289231008048i
1404+0i,0.2546483397835125-0.03654287454060646i
1405+0i,0.2546449859109104-0.03654285686129291i
1406+0i,0.2546416490555031-0.0365428392716823i
1407+0i,0.254638329130949-0.03654282177131953i
1408+0i,0.2546350260513408-0.03654280435975173i
1409+0i,0.2546317397312106-0.03654278703652842i
1410+0i,0.2546284700855221-0.03654276980120131i
1411+0i,0.2546252170296697-0.0365427526533244i
1412+0i,0.25462198047948-0.03654273559245404i
1413+0i,0.2546187603512042-0.03654271861814874i
1414+0i,0.2546155565615195-0.03654270172996925i
1415+0i,0.2546123690275242-0.0365426849274786i
1416+0i,0.2546091976667414-0.03654266821024204i
1417+0i,0.2546060423971077-0.03654265157782695i
1418+0i,0.2546029031369794-0.03654263502980298i
1419+0i,0.2545997798051253-0.03654261856574196i
1420+0i,0.2545966723207279-0.03654260218521782i
1421+0i,0.2545935806033774-0.03654258588780674i
1422+0i,0.2545905045730745-0.036542569673087i
1423+0i,0.2545874441502253-0.03654255354063903i
1424+0i,0.2545843992556387-0.03654253749004542i
1425+0i,0.2545813698105254-0.03654252152089081i
1426+0i,0.2545783557364976-0.036542505632762i
1427+0i,0.2545753569555623-0.03654248982524791i
1428+0i,0.2545723733901247-0.03654247409793945i
1429+0i,0.2545694049629839-0.0365424584504297i
1430+0i,0.2545664515973287-0.03654244288231376i
1431+0i,0.2545635132167394-0.03654242739318879i
1432+0i,0.2545605897451823-0.03654241198265402i
1433+0i,0.2545576811070119-0.03654239665031067i
1434+0i,0.254554787226965-0.03654238139576203i
1435+0i,0.2545519080301584-0.03654236621861333i
1436+0i,0.2545490434420937-0.03654235111847191i
1437+0i,0.2545461933886464-0.03654233609494698i
1438+0i,0.254543357796069-0.03654232114764983i
1439+0i,0.2545405365909896-0.03654230627619371i
1440+0i,0.2545377297004067-0.03654229148019379i
1441+0i,0.2545349370516899-0.0365422767592672i
1442+0i,0.2545321585725782-0.03654226211303305i
1443+0i,0.2545293941911762-0.03654224754111234i
1444+0i,0.2545266438359538-0.036542233043128i
1445+0i,0.2545239074357434-0.03654221861870493i
1446+0i,0.2545211849197386-0.03654220426746983i
1447+0i,0.2545184762174927-0.03654218998905141i
1448+0i,0.254515781258916-0.03654217578308017i
1449+0i,0.2545130999742751-0.03654216164918851i
1450+0i,0.254510432294189-0.03654214758701076i
1451+0i,0.2545077781496298-0.03654213359618299i
1452+0i,0.2545051374719203-0.03654211967634321i
1453+0i,0.254502510192731-0.0365421058271312i
1454+0i,0.2544998962440789-0.03654209204818868i
1455+0i,0.2544972955583267-0.03654207833915903i
1456+0i,0.2544947080681778-0.03654206469968756i
1457+0i,0.254492133706682-0.03654205112942132i
1458+0i,0.2544895724072245-0.03654203762800919i
1459+0i,0.2544870241035305-0.03654202419510179i
1460+0i,0.2544844887296597-0.03654201083035154i
1461+0i,0.2544819662200092-0.03654199753341263i
1462+0i,0.2544794565093054-0.03654198430394098i
1463+0i,0.2544769595326091-0.03654197114159427i
1464+0i,0.2544744752253097-0.03654195804603192i
1465+0i,0.2544720035231221-0.03654194501691509i
1466+0i,0.2544695443620916-0.03654193205390659i
1467+0i,0.2544670976785844-0.03654191915667105i
1468+0i,0.2544646634092906-0.03654190632487472i
1469+0i,0.2544622414912222-0.03654189355818556i
1470+0i,0.2544598318617106-0.03654188085627325i
1471+0i,0.2544574344584045-0.03654186821880907i
1472+0i,0.2544550492192698-0.03654185564546609i
1473+0i,0.2544526760825869-0.0365418431359189i
1474+0i,0.2544503149869491-0.03654183068984383i
1475+0i,0.2544479658712611-0.03654181830691886i
1476+0i,0.2544456286747383-0.03654180598682352i
1477+0i,0.2544433033369038-0.03654179372923903i
1478+0i,0.2544409897975878-0.03654178153384825i
1479+0i,0.2544386879969264-0.03654176940033559i
1480+0i,0.2544363978753585-0.0365417573283871i
1481+0i,0.254434119373626-0.0365417453176904i
1482+0i,0.2544318524327705-0.0365417333679347i
1483+0i,0.2544295969941335-0.0365417214788108i
1484+0i,0.2544273529993542-0.03654170965001106i
1485+0i,0.2544251203903677-0.03654169788122941i
1486+0i,0.2544228991094027-0.0365416861721613i
1487+0i,0.2544206890989837-0.03654167452250379i
1488+0i,0.2544184903019245-0.03654166293195539i
1489+0i,0.2544163026613283-0.03654165140021622i
1490+0i,0.2544141261205897-0.03654163992698785i
1491+0i,0.2544119606233902-0.03654162851197346i
1492+0i,0.2544098061136951-0.03654161715487765i
1493+0i,0.2544076625357533-0.03654160585540653i
1494+0i,0.2544055298341001-0.03654159461326772i
1495+0i,0.2544034079535503-0.03654158342817038i
1496+0i,0.2544012968391984-0.03654157229982501i
1497+0i,0.2543991964364171-0.03654156122794369i
1498+0i,0.254397106690859-0.03654155021223995i
1499+0i,0.2543950275484482-0.0365415392524287i
1500+0i,0.2543929589553877-0.03654152834822639i
