#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
299+0i,0.436520604326612-0.03750158024483962i
300+0i,0.4355944497822391-0.03749669819398418i
301+0i,0.4346729944482588-0.03749184091413944i
302+0i,0.4337562144813741-0.03748700827961988i
303+0i,0.4328440861592655-0.03748220016537776i
304+0i,0.4319365858799777-0.03747741644699974i
305+0i,0.4310336901613115-0.03747265700070381i
306+0i,0.4301353756402121-0.03746792170333598i
307+0i,0.4292416190721663-0.03746321043236713i
308+0i,0.4283523973306013-0.03745852306588983i
309+0i,0.4274676874062865-0.03745385948261526i
310+0i,0.4265874664067354-0.03744921956186993i
311+0i,0.4257117115556214-0.03744460318359268i
312+0i,0.4248404001921769-0.03744001022833148i
313+0i,0.4239735097706135-0.03743544057724045i
314+0i,0.4231110178595412-0.03743089411207668i
315+0i,0.4222529021413801-0.03742637071519724i
316+0i,0.4213991404117887-0.03742187026955605i
317+0i,0.4205497105790917-0.03741739265870098i
318+0i,0.419704590663698-0.03741293776677074i
319+0i,0.4188637587975442-0.03740850547849189i
320+0i,0.4180271932235207-0.03740409567917589i
321+0i,0.4171948722949109-0.03739970825471611i
322+0i,0.416366774474834-0.03739534309158491i
323+0i,0.4155428783356816-0.03739100007683064i
324+0i,0.4147231625585672-0.03738667909807481i
325+0i,0.4139076059327773-0.03738238004350904i
326+0i,0.4130961873552155-0.03737810280189233i
327+0i,0.4122888858298627-0.03737384726254808i
328+0i,0.4114856804672306-0.03736961331536125i
329+0i,0.4106865504838216-0.0373654008507755i
330+0i,0.4098914752015924-0.03736120975979038i
331+0i,0.4091004340474171-0.03735703993395852i
332+0i,0.4083134065525546-0.03735289126538276i
333+0i,0.4075303723521226-0.03734876364671341i
334+0i,0.4067513111845651-0.03734465697114547i
335+0i,0.4059762028911342-0.03734057113241587i
336+0i,0.4052050274153627-0.03733650602480069i
337+0i,0.4044377648025511-0.03733246154311241i
338+0i,0.4036743951992433-0.0373284375826973i
339+0i,0.402914898852721-0.03732443403943256i
340+0i,0.4021592561104894-0.03732045080972372i
341+0i,0.4014074474197645-0.03731648779050197i
342+0i,0.4006594533269756-0.03731254487922139i
343+0i,0.3999152544772549-0.03730862197385647i
344+0i,0.39917483161394-0.03730471897289923i
345+0i,0.3984381655780736-0.03730083577535685i
346+0i,0.3977052373079105-0.03729697228074889i
347+0i,0.3969760278384219-0.03729312838910474i
348+0i,0.3962505183008063-0.03728930400096105i
349+0i,0.3955286899219991-0.03728549901735907i
350+0i,0.3948105240241904-0.03728171333984224i
351+0i,0.3940960020243355-0.03727794687045351i
352+0i,0.3933851054336828-0.03727419951173287i
353+0i,0.3926778158572896-0.03727047116671482i
354+0i,0.3919741149935453-0.0372667617389258i
355+0i,0.3912739846336998-0.03726307113238183i
356+0i,0.3905774066613935-0.03725939925158588i
357+0i,0.3898843630521887-0.03725574600152547i
358+0i,0.3891948358730988-0.03725211128767023i
359+0i,0.388508807282129-0.03724849501596943i
360+0i,0.3878262595278116-0.03724489709284948i
361+0i,0.3871471749487501-0.03724131742521165i
362+0i,0.386471535973158-0.03723775592042955i
363+0i,0.3857993251184079-0.03723421248634676i
364+0i,0.3851305249905749-0.03723068703127445i
365+0i,0.3844651182839925-0.03722717946398903i
366+0i,0.3838030877807981-0.03722368969372977i
367+0i,0.3831444163504929-0.0372202176301964i
368+0i,0.3824890869494956-0.03721676318354691i
369+0i,0.3818370826207016-0.03721332626439506i
370+0i,0.3811883864930466-0.03720990678380818i
371+0i,0.3805429817810666-0.03720650465330484i
372+0i,0.3799008517844653-0.03720311978485254i
373+0i,0.3792619798876838-0.03719975209086546i
374+0i,0.3786263495594662-0.03719640148420217i
375+0i,0.3779939443524373-0.03719306787816339i
376+0i,0.3773647479026718-0.03718975118648977i
377+0i,0.3767387439292742-0.03718645132335959i
378+0i,0.3761159162339565-0.03718316820338659i
379+0i,0.375496248700618-0.03717990174161777i
380+0i,0.3748797252949317-0.03717665185353114i
381+0i,0.3742663300639258-0.03717341845503361i
382+0i,0.3736560471355715-0.03717020146245876i
383+0i,0.3730488607183741-0.03716700079256463i
384+0i,0.3724447551009623-0.03716381636253168i
385+0i,0.3718437146516839-0.03716064808996056i
386+0i,0.3712457238181992-0.03715749589287003i
387+0i,0.3706507671270781-0.0371543596896948i
388+0i,0.3700588291834059-0.0371512393992834i
389+0i,0.3694698946703726-0.03714813494089617i
390+0i,0.3688839483488914-0.0371450462342031i
391+0i,0.3683009750571924-0.03714197319928175i
392+0i,0.3677209597104367-0.03713891575661519i
393+0i,0.3671438873003232-0.03713587382708997i
394+0i,0.366569742894703-0.03713284733199407i
395+0i,0.3659985116371907-0.0371298361930148i
396+0i,0.3654301787467786-0.03712684033223684i
397+0i,0.3648647295174589-0.03712385967214024i
398+0i,0.3643021493178401-0.03712089413559833i
399+0i,0.363742423590767-0.03711794364587578i
400+0i,0.3631855378529496-0.03711500812662664i
401+0i,0.36263147769458-0.03711208750189229i
402+0i,0.3620802287789672-0.03710918169609954i
403+0i,0.3615317768421629-0.03710629063405863i
404+0i,0.3609861076925904-0.03710341424096136i
405+0i,0.3604432072106818-0.037100552442379i
406+0i,0.3599030613485087-0.03709770516426058i
407+0i,0.3593656561294232-0.03709487233293076i
408+0i,0.3588309776476905-0.03709205387508809i
409+0i,0.3582990120681335-0.03708924971780297i
410+0i,0.3577697456257725-0.03708645978851593i
411+0i,0.3572431646254698-0.03708368401503558i
412+0i,0.3567192554415773-0.03708092232553686i
413+0i,0.3561980045175796-0.03707817464855911i
414+0i,0.355679398365746-0.03707544091300431i
415+0i,0.3551634235667829-0.03707272104813515i
416+0i,0.3546500667694839-0.03707001498357323i
417+0i,0.3541393146903838-0.03706732264929722i
418+0i,0.3536311541134172-0.03706464397564115i
419+0i,0.3531255718895772-0.03706197889329243i
420+0i,0.3526225549365712-0.03705932733329022i
421+0i,0.3521220902384866-0.03705668922702357i
422+0i,0.3516241648454502-0.03705406450622965i
423+0i,0.3511287658732967-0.03705145310299194i
424+0i,0.3506358805032339-0.03704885494973861i
425+0i,0.3501454959815092-0.03704626997924065i
426+0i,0.3496575996190822-0.03704369812461008i
427+0i,0.3491721787912959-0.03704113931929846i
428+0i,0.3486892209375492-0.03703859349709487i
429+0i,0.3482087135609705-0.03703606059212439i
430+0i,0.3477306442280973-0.03703354053884636i
431+0i,0.3472550005685553-0.03703103327205266i
432+0i,0.3467817702747317-0.03702853872686598i
433+0i,0.3463109411014651-0.03702605683873827i
434+0i,0.3458425008657225-0.03702358754344892i
435+0i,0.3453764374462866-0.03702113077710321i
436+0i,0.3449127387834436-0.03701868647613061i
437+0i,0.3444513928786681-0.03701625457728312i
438+0i,0.3439923877943135-0.03701383501763366i
439+0i,0.343535711653303-0.03701142773457446i
440+0i,0.3430813526388261-0.03700903266581539i
441+0i,0.3426292989940255-0.03700664974938237i
442+0i,0.3421795390217006-0.0370042789236158i
443+0i,0.3417320610839975-0.0370019201271689i
444+0i,0.3412868536021152-0.03699957329900618i
445+0i,0.3408439050559988-0.03699723837840182i
446+0i,0.340403203984048-0.03699491530493813i
447+0i,0.339964738982816-0.03699260401850397i
448+0i,0.3395284987067152-0.0369903044592932i
449+0i,0.3390944718677259-0.03698801656780312i
450+0i,0.3386626472351014-0.03698574028483295i
451+0i,0.3382330136350794-0.03698347555148229i
452+0i,0.3378055599505913-0.03698122230914958i
453+0i,0.3373802751209763-0.03697898049953061i
454+0i,0.3369571481416937-0.03697675006461701i
455+0i,0.3365361680640373-0.03697453094669471i
456+0i,0.3361173239948573-0.03697232308834249i
457+0i,0.3357006050962705-0.0369701264324305i
458+0i,0.3352860005853861-0.03696794092211872i
459+0i,0.3348734997340246-0.03696576650085556i
460+0i,0.3344630918684386-0.03696360311237636i
461+0i,0.33405476636904-0.03696145070070193i
462+0i,0.3336485126701216-0.03695930921013711i
463+0i,0.3332443202595882-0.0369571785852694i
464+0i,0.3328421786786787-0.03695505877096733i
465+0i,0.3324420775216999-0.03695294971237927i
466+0i,0.3320440064357579-0.03695085135493185i
467+0i,0.3316479551204843-0.03694876364432861i
468+0i,0.3312539133277778-0.0369466865265486i
469+0i,0.3308618708615322-0.03694461994784493i
470+0i,0.3304718175773757-0.03694256385474345i
471+0i,0.3300837433824089-0.03694051819404134i
472+0i,0.3296976382349422-0.03693848291280569i
473+0i,0.3293134921442361-0.03693645795837218i
474+0i,0.3289312951702439-0.03693444327834372i
475+0i,0.3285510374233528-0.03693243882058905i
476+0i,0.3281727090641295-0.03693044453324143i
477+0i,0.3277963003030639-0.0369284603646973i
478+0i,0.3274218014003181-0.03692648626361491i
479+0i,0.3270492026654736-0.03692452217891302i
480+0i,0.3266784944572771-0.03692256805976958i
481+0i,0.3263096671833967-0.03692062385562039i
482+0i,0.3259427113001699-0.03691868951615784i
483+0i,0.3255776173123597-0.03691676499132952i
484+0i,0.3252143757729035-0.03691485023133703i
485+0i,0.3248529772826744-0.03691294518663461i
486+0i,0.3244934124902357-0.03691104980792793i
487+0i,0.324135672091598-0.03690916404617271i
488+0i,0.3237797468299796-0.03690728785257359i
489+0i,0.3234256274955673-0.03690542117858274i
490+0i,0.3230733049252767-0.03690356397589867i
491+0i,0.3227227700025164-0.03690171619646497i
492+0i,0.3223740136569517-0.03689987779246905i
493+0i,0.3220270268642692-0.03689804871634096i
494+0i,0.3216818006459451-0.03689622892075205i
495+0i,0.3213383260690099-0.03689441835861389i
496+0i,0.3209965942458209-0.03689261698307687i
497+0i,0.3206565963338302-0.03689082474752919i
498+0i,0.3203183235353533-0.03688904160559547i
499+0i,0.3199817670973485-0.0368872675111357i
500+0i,0.3196469183111834-0.03688550241824395i
501+0i,0.3193137685124119-0.0368837462812472i
502+0i,0.3189823090805515-0.03688199905470419i
503+0i,0.3186525314388597-0.03688026069340423i
504+0i,0.318324427054111-0.03687853115236599i
505+0i,0.3179979874363753-0.03687681038683643i
506+0i,0.3176732041388008-0.03687509835228951i
507+0i,0.3173500687573941-0.03687339500442516i
508+0i,0.3170285729308017-0.03687170029916807i
509+0i,0.3167087083400968-0.03687001419266655i
510+0i,0.3163904667085598-0.03686833664129143i
511+0i,0.3160738398014676-0.03686666760163491i
512+0i,0.3157588194258789-0.03686500703050944i
513+0i,0.3154453974304217-0.03686335488494655i
514+0i,0.3151335657050848-0.03686171112219585i
515+0i,0.3148233161810052-0.03686007569972383i
516+0i,0.3145146408302608-0.03685844857521281i
517+0i,0.3142075316656616-0.03685682970655978i
518+0i,0.313901980740546-0.03685521905187542i
519+0i,0.3135979801485692-0.03685361656948289i
520+0i,0.3132955220235064-0.03685202221791688i
521+0i,0.3129945985390423-0.0368504359559224i
522+0i,0.312695201908573-0.03684885774245384i
523+0i,0.3123973243850016-0.03684728753667383i
524+0i,0.3121009582605416-0.03684572529795219i
525+0i,0.3118060958665118-0.03684417098586491i
526+0i,0.311512729573144-0.03684262456019308i
527+0i,0.3112208517893806-0.03684108598092189i
528+0i,0.3109304549626815-0.0368395552082395i
529+0i,0.3106415315788267-0.0368380322025361i
530+0i,0.3103540741617221-0.03683651692440287i
531+0i,0.3100680752732083-0.03683500933463094i
532+0i,0.3097835275128638-0.03683350939421038i
533+0i,0.3095004235178195-0.03683201706432918i
534+0i,0.309218755962561-0.03683053230637225i
535+0i,0.308938517558745-0.03682905508192047i
536+0i,0.3086597010550076-0.03682758535274962i
537+0i,0.3083822992367781-0.03682612308082944i
538+0i,0.3081063049260923-0.03682466822832263i
539+0i,0.3078317109814039-0.03682322075758386i
540+0i,0.3075585102974051-0.03682178063115881i
541+0i,0.3072866958048381-0.03682034781178323i
542+0i,0.3070162604703128-0.03681892226238192i
543+0i,0.3067471972961277-0.03681750394606778i
544+0i,0.3064794993200866-0.03681609282614091i
545+0i,0.3062131596153168-0.03681468886608759i
546+0i,0.3059481712900947-0.03681329202957936i
547+0i,0.3056845274876619-0.03681190228047213i
548+0i,0.3054222213860527-0.03681051958280518i
549+0i,0.3051612461979138-0.03680914390080023i
550+0i,0.3049015951703309-0.03680777519886055i
551+0i,0.3046432615846532-0.03680641344157004i
552+0i,0.3043862387563189-0.03680505859369226i
553+0i,0.304130520034685-0.03680371062016961i
554+0i,0.3038760988028507-0.03680236948612231i
555+0i,0.3036229684774892-0.0368010351568476i
556+0i,0.3033711225086778-0.03679970759781877i
557+0i,0.3031205543797281-0.03679838677468432i
558+0i,0.3028712576070142-0.03679707265326703i
559+0i,0.3026232257398093-0.03679576519956308i
560+0i,0.3023764523601157-0.03679446437974122i
561+0i,0.3021309310825021-0.03679317016014183i
562+0i,0.3018866555539332-0.03679188250727604i
563+0i,0.3016436194536107-0.03679060138782499i
564+0i,0.3014018164928062-0.0367893267686388i
565+0i,0.3011612404146994-0.0367880586167358i
566+0i,0.3009218849942184-0.03678679689930169i
567+0i,0.3006837440378738-0.03678554158368866i
568+0i,0.3004468113836037-0.03678429263741453i
569+0i,0.3002110809006105-0.03678305002816196i
570+0i,0.2999765464892047-0.03678181372377756i
571+0i,0.2997432020806445-0.03678058369227111i
572+0i,0.2995110416369814-0.03677935990181469i
573+0i,0.2992800591509024-0.03677814232074186i
574+0i,0.2990502486455749-0.03677693091754685i
575+0i,0.298821604174493-0.03677572566088378i
576+0i,0.2985941198213215-0.03677452651956579i
577+0i,0.298367789699744-0.03677333346256428i
578+0i,0.2981426079533124-0.03677214645900804i
579+0i,0.2979185687552919-0.03677096547818254i
580+0i,0.2976956663085126-0.03676979048952909i
581+0i,0.2974738948452186-0.03676862146264404i
582+0i,0.2972532486269189-0.036767458367278i
583+0i,0.297033721944239-0.03676630117333506i
